environment,replication,RAC_HRP,HRP_static,HRP_periodic_3,EW,ERC
A_iid_gaussian,37,-0.6334523629837547,-0.6162733911469662,-0.5376294627918253,-0.5542707736947063,-0.5901568887712842
A_iid_gaussian,38,-0.19354811083915202,-0.1698022286590576,-0.22723946721485175,0.14619544012150434,-0.09447079131342376
A_iid_gaussian,39,-1.0405523750008001,-1.0492045646614783,-1.098551614547118,-0.8965655546129014,-0.9931132401172387
A_iid_gaussian,40,-0.9728865445913377,-0.9911121413520634,-0.9951483046441272,-0.8517923900784128,-0.9124569277382016
A_iid_gaussian,41,0.4350995522289029,0.5247575910910003,0.4680247186932141,0.5108112900426791,0.4929149950648101
A_iid_gaussian,42,-1.2627102209880663,-1.3395672425859182,-1.2610006364619508,-1.1735410550950496,-1.240053660593465
A_iid_gaussian,43,-0.5252699232073328,-0.5251129928644177,-0.5018172949786185,-0.5242966329747752,-0.4683653178327755
A_iid_gaussian,44,-0.07406952223187334,-0.10521298173840835,-0.07069019023022666,-0.24431866589050874,-0.10411281503390839
A_iid_gaussian,45,-1.0596087594477075,-1.0895556566110998,-1.0214076760537778,-0.6182499004924142,-0.8027699582319731
A_iid_gaussian,46,-1.5246844362269973,-1.4911109135217253,-1.5270670684878953,-1.2931204708634179,-1.4498450204968645
A_iid_gaussian,47,-0.3543973280896252,-0.3183159139664558,-0.4008292056274171,-0.412543133671844,-0.3395110213487155
A_iid_gaussian,48,-0.26352216221273794,-0.27016144882549903,-0.255806747716887,-0.09399673018409499,-0.06910714463434908
A_iid_gaussian,49,-0.22751126280254552,-0.19464318682822804,-0.16937500182249438,-0.1034927536190944,-0.2643002626812565
A_iid_gaussian,50,-0.20761991073157754,-0.18994920073969868,-0.21078841093900033,0.1764855805745746,-0.05216098169038332
A_iid_gaussian,51,-0.5028889437762664,-0.48530845361011626,-0.49737437340333807,-0.3754770550247387,-0.4706691284729093
A_iid_gaussian,52,0.22797579130261755,0.23472046365992033,0.23225231513066405,0.37296215005305666,0.26833683441702677
A_iid_gaussian,53,-0.6408258543873137,-0.6456854380657432,-0.6904671692138491,-0.5527156593870644,-0.578137201993326
A_iid_gaussian,54,-0.7666039846989781,-0.7765424561946006,-0.804339235649947,-0.3233319483096984,-0.5365594087011369
A_iid_gaussian,55,-0.6086352630118701,-0.5637323370057399,-0.5603544322318217,-0.6063680469926617,-0.7110404528728247
A_iid_gaussian,56,-0.2308659049253267,-0.21453636978160684,-0.2234393421639745,-0.36798875997296965,-0.3045860457022356
A_iid_gaussian,57,-1.1982276075178095,-1.2725354110881155,-1.1515462868122759,-1.30476675170131,-1.3496632853293988
A_iid_gaussian,58,-0.8452580961991766,-0.8923089432113686,-0.8526605069817605,-0.8716475610044575,-0.9183683726433309
A_iid_gaussian,59,-0.2660065607128906,-0.27588310812172767,-0.2719283237949844,-0.20830024101470346,-0.24623117000021458
A_iid_gaussian,60,-0.3794916277067181,-0.3792985289002327,-0.3721777762095544,-0.1151413657391518,-0.19737618500891807
A_iid_gaussian,61,-0.903930197123976,-0.9101847569847079,-0.9284330604252917,-0.9805435408540956,-0.8618026928052339
A_iid_gaussian,62,-0.8735534091180888,-0.9016863200029688,-0.8914278328107882,-0.97345780008877,-1.009900822939271
A_iid_gaussian,63,0.16150330411572233,0.28322585515826865,0.1961663210801448,0.5251854486229839,0.35883488405615616
A_iid_gaussian,64,-0.4211930636672896,-0.465854574165458,-0.49740481938812264,-0.4018585160336208,-0.4073457779876536
A_iid_gaussian,65,-0.4632242021963755,-0.44352607758722135,-0.48445796168136745,-0.09048371262967912,-0.25497362001970114
A_iid_gaussian,66,-0.19756531004837022,-0.14024140511380076,-0.17431728976793612,-0.01712236208118448,-0.06346593633760249
A_iid_gaussian,67,-0.514045134110231,-0.4850305796826144,-0.500598742841851,-0.5744837008696397,-0.5237701755002334
A_iid_gaussian,68,-0.8402746786981022,-0.8432260577691328,-0.8230750176249718,-0.798288900921762,-0.8417590888480034
A_iid_gaussian,69,-0.45126644337416105,-0.46127925245160517,-0.4828349601161181,-0.4818457429350934,-0.44931052880952466
A_iid_gaussian,70,0.14149212549325527,0.1564348036733916,0.2266231141704261,0.25996839583608844,0.23214622072500501
A_iid_gaussian,71,-0.5136263903918082,-0.48590933327401253,-0.4795345424077734,-0.10138700892610165,-0.2975743460359813
A_iid_gaussian,72,-1.21857974840943,-1.2496598363368099,-1.2392893028985688,-1.263813917894959,-1.2450650793264832
A_iid_gaussian,73,-0.8783831296061586,-0.7667230243726433,-0.8931696732274761,-0.6334480396655767,-0.7254857139987687
A_iid_gaussian,74,-0.10684025908295043,-0.07369704235546022,-0.027363856141969563,0.21192539481358458,0.003052906200683592
A_iid_gaussian,75,-0.7729606663895305,-0.6854202661156173,-0.7488913642739556,-0.6257722196458531,-0.6196458324427696
A_iid_gaussian,76,0.23283969292360435,0.16672662472406646,0.19583503637267438,-0.1200342085001145,0.057915104862316116
A_iid_gaussian,77,0.08284216987579529,0.1051690545494792,0.16556395430389687,0.3902015141652446,0.20914766586662017
A_iid_gaussian,78,-0.5641168366149617,-0.5722290301617778,-0.5649557647422101,-0.45610994831133,-0.5265778572868922
A_iid_gaussian,79,-0.7512562417567805,-0.7782091679133367,-0.7868474188299158,-0.7065302363425559,-0.7527795995918876
A_iid_gaussian,80,0.053582687807873446,0.037754395136152814,0.10161463352723195,-0.18777920707746124,-0.09108079736391744
